LocationType,Location,TimeFrame,DataFormat,Data
State,Kentucky,2003,Number,36379
State,Kentucky,2004,Number,36551
State,Kentucky,2005,Number,36982
State,Kentucky,2006,Number,37083
State,Kentucky,2007,Number,38364
State,Kentucky,2008,Number,40099
State,Kentucky,2003,Percent,0.79
State,Kentucky,2004,Percent,0.82
State,Kentucky,2005,Percent,0.83
State,Kentucky,2006,Percent,0.83
State,Kentucky,2007,Percent,0.84
State,Kentucky,2008,Percent,0.85
State,Kentucky,2009,Number,41064
State,Kentucky,2009,Percent,0.84
School District,Adair Co.,2003,Number,141
School District,Adair Co.,2004,Number,156
School District,Adair Co.,2005,Number,158
School District,Adair Co.,2006,Number,155
School District,Adair Co.,2007,Number,165
School District,Adair Co.,2008,Number,159
School District,Adair Co.,2003,Percent,0.66
School District,Adair Co.,2004,Percent,0.74
School District,Adair Co.,2005,Percent,0.85
School District,Adair Co.,2006,Percent,0.72
School District,Adair Co.,2007,Percent,0.83
School District,Adair Co.,2008,Percent,0.82
School District,Adair Co.,2009,Number,184
School District,Adair Co.,2009,Percent,0.86
School District,Allen Co.,2003,Number,194
School District,Allen Co.,2004,Number,179
School District,Allen Co.,2005,Number,185
School District,Allen Co.,2006,Number,201
School District,Allen Co.,2007,Number,202
School District,Allen Co.,2008,Number,192
School District,Allen Co.,2003,Percent,0.74
School District,Allen Co.,2004,Percent,0.83
School District,Allen Co.,2005,Percent,0.83
School District,Allen Co.,2006,Percent,0.89
School District,Allen Co.,2007,Percent,0.88
School District,Allen Co.,2008,Percent,0.83
School District,Allen Co.,2009,Number,232
School District,Allen Co.,2009,Percent,0.83
School District,Anchorage Ind.,2003,Number,*
School District,Anchorage Ind.,2004,Number,*
School District,Anchorage Ind.,2005,Number,*
School District,Anchorage Ind.,2006,Number,*
School District,Anchorage Ind.,2007,Number,*
School District,Anchorage Ind.,2008,Number,*
School District,Anchorage Ind.,2003,Percent,*
School District,Anchorage Ind.,2004,Percent,*
School District,Anchorage Ind.,2005,Percent,*
School District,Anchorage Ind.,2006,Percent,*
School District,Anchorage Ind.,2007,Percent,*
School District,Anchorage Ind.,2008,Percent,*
School District,Anchorage Ind.,2009,Number,*
School District,Anchorage Ind.,2009,Percent,*
School District,Anderson Co.,2003,Number,227
School District,Anderson Co.,2004,Number,228
School District,Anderson Co.,2005,Number,233
School District,Anderson Co.,2006,Number,235
School District,Anderson Co.,2007,Number,253
School District,Anderson Co.,2008,Number,264
School District,Anderson Co.,2003,Percent,0.88
School District,Anderson Co.,2004,Percent,0.86
School District,Anderson Co.,2005,Percent,0.86
School District,Anderson Co.,2006,Percent,0.86
School District,Anderson Co.,2007,Percent,0.9
School District,Anderson Co.,2008,Percent,0.9
School District,Anderson Co.,2009,Number,289
School District,Anderson Co.,2009,Percent,0.89
School District,Ashland Ind.,2003,Number,184
School District,Ashland Ind.,2004,Number,241
School District,Ashland Ind.,2005,Number,198
School District,Ashland Ind.,2006,Number,215
School District,Ashland Ind.,2007,Number,198
School District,Ashland Ind.,2008,Number,194
School District,Ashland Ind.,2003,Percent,0.86
School District,Ashland Ind.,2004,Percent,0.87
School District,Ashland Ind.,2005,Percent,0.85
School District,Ashland Ind.,2006,Percent,0.84
School District,Ashland Ind.,2007,Percent,0.83
School District,Ashland Ind.,2008,Percent,0.84
