AVERAGE CLASSROOM TEACHER SALARY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-90 THROUGH 2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist No,District name,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02, 2002-03 , 2003-04 ,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
001,ADAIR ,"$25,779 ","$27,714 ","$30,002 ","$30,069 ","$29,819 ","$30,971 ","$31,371 ","$32,233 ","$32,303 ","$33,258 ","$33,943 ","$35,444 ","$36,174 ","$37,104","$37,919","$38,923 ","$40,576 ","$41,810 ","$45,964","$47,482","$48,009 ","$47,874 ","$48,053","$48,068","$47,499","$47,525","$47,999 ","$47,775 ","$50,925","$51,127","$50,685","$51,120","$50,610","$53,609","$53,316","$54,377"
005,ALLEN ,"$25,480 ","$27,825 ","$29,139 ","$29,645 ","$30,635 ","$31,410 ","$31,770 ","$32,364 ","$33,445 ","$34,628 ","$35,876 ","$36,312 ","$38,106 ","$38,331","$39,540","$40,941 ","$41,869 ","$42,610 ","$46,148","$46,602","$47,504 ","$46,385 ","$46,735","$47,504","$48,294","$48,651","$50,109 ","$49,742 ","$49,817","$49,990","$50,617","$52,210","$52,639","$52,625","$53,942","$56,471"
006,ANCHORAGE,"$28,736 ","$31,003 ","$32,966 ","$34,826 ","$34,901 ","$36,072 ","$36,410 ","$36,854 ","$38,196 ","$40,031 ","$42,778 ","$43,518 ","$44,692 ","$47,635","$50,196","$52,606 ","$54,529 ","$56,295 ","$59,022","$59,157","$58,572 ","$60,859 ","$60,590","$62,174","$62,062","$62,633","$61,594 ","$63,083 ","$62,491","$67,488","$68,644","$68,151","$71,634","$73,766","$78,052","$77,086"
011,ANDERSON ,"$24,692 ","$27,390 ","$29,186 ","$29,901 ","$30,513 ","$31,309 ","$31,977 ","$32,711 ","$33,653 ","$34,003 ","$33,976 ","$34,254 ","$35,516 ","$36,464","$37,294","$38,559 ","$39,489 ","$41,732 ","$45,002","$46,263","$47,359 ","$46,501 ","$46,427","$46,671","$46,782","$47,098","$48,471 ","$48,122 ","$48,517","$49,381","$49,769","$51,073","$51,342","$52,551","$54,636","$56,853"
012,ASHLAND,"$27,422 ","$30,155 ","$31,395 ","$31,792 ","$32,745 ","$33,207 ","$33,117 ","$34,216 ","$34,746 ","$36,236 ","$36,775 ","$38,193 ","$39,196 ","$39,913","$41,535","$43,106 ","$44,472 ","$45,984 ","$49,977","$49,723","$50,613 ","$49,114 ","$49,168","$49,780","$49,515","$49,668","$50,265 ","$50,203 ","$49,313","$48,992","$49,741","$50,508","$51,027","$51,083","$52,141","$54,359"
013,AUGUSTA,"$24,111 ","$27,017 ","$28,967 ","$28,930 ","$28,217 ","$28,173 ","$28,944 ","$29,465 ","$29,022 ","$30,969 ","$31,546 ","$35,413 ","$32,106 ","$31,274","$30,235","$31,681 ","$33,508 ","$32,853 ","$37,555","$38,394","$40,409 ","$40,107 ","$38,070","$38,783","$39,295","$41,508","$41,743 ","$42,540 ","$43,806","$44,756","$44,472","$44,796","$45,624","$47,275","$46,655","$48,923"
015,BALLARD ,"$25,795 ","$28,074 ","$29,267 ","$28,958 ","$29,336 ","$30,870 ","$31,545 ","$32,757 ","$33,223 ","$33,158 ","$33,772 ","$34,425 ","$35,915 ","$36,865","$38,387","$38,943 ","$39,136 ","$39,543 ","$43,588","$44,504","$45,839 ","$45,107 ","$44,895","$45,553","$45,296","$45,948","$47,119 ","$47,502 ","$46,667","$46,500","$46,740","$48,234","$49,391","$49,572","$51,472","$53,780"
016,BARBOURVILLE,"$23,219 ","$25,851 ","$27,880 ","$28,735 ","$29,761 ","$31,014 ","$31,055 ","$32,440 ","$34,390 ","$34,858 ","$36,094 ","$36,815 ","$36,358 ","$36,186","$38,854","$39,913 ","$42,585 ","$42,614 ","$46,978","$47,966","$47,434 ","$47,434 ","$46,490","$47,574","$47,438","$48,363","$50,030 ","$49,465 ","$48,437","$48,987","$48,020","$48,824","$47,766","$49,846","$50,461","$52,940"
017,BARDSTOWN,"$26,715 ","$29,315 ","$30,897 ","$30,599 ","$31,454 ","$32,982 ","$33,464 ","$34,365 ","$33,966 ","$34,705 ","$35,794 ","$38,269 ","$40,691 ","$42,038","$43,003","$44,409 ","$46,685 ","$47,941 ","$51,327","$51,795","$52,364 ","$52,080 ","$53,365","$53,928","$55,076","$55,715","$57,248 ","$57,372 ","$58,382","$59,270","$60,516","$62,162","$63,184","$64,552","$64,242","$66,722"
021,BARREN ,"$25,032 ","$28,179 ","$30,288 ","$30,653 ","$30,635 ","$31,223 ","$31,538 ","$32,064 ","$33,075 ","$34,435 ","$35,107 ","$35,671 ","$36,614 ","$37,582","$38,685","$40,899 ","$42,346 ","$42,756 ","$46,433","$46,940","$47,513 ","$47,072 ","$47,612","$48,117","$48,728","$49,987","$50,812 ","$50,971 ","$50,788","$50,361","$50,458","$51,192","$51,917","$53,546","$56,038","$59,863"
