District name,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02, 2002-03 , 2003-04 ,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
ADAIR ,,,,,,,,,,,,,,66,74,85,72,83,82,86,,,,,,,,,,,,,,97,,
ALLEN ,,,,,,,,,,,,,,74,83,83,89,88,83,83,,,,,,,,,,,,,,93.1,,
ANCHORAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDERSON ,,,,,,,,,,,,,,88,86,86,86,90,90,89,,,,,,,,,,,,,,92.4,,
ASHLAND,,,,,,,,,,,,,,86,87,85,84,83,84,88,,,,,,,,,,,,,,,,
AUGUSTA,,,,,,,,,,,,,,100,100,100,100,100,96,100,,,,,,,,,,,,,,,,
BALLARD ,,,,,,,,,,,,,,83,87,91,94,92,91,89,,,,,,,,,,,,,,90.6,,
BARBOURVILLE,,,,,,,,,,,,,,100,98,100,97,100,100,94,,,,,,,,,,,,,,92.5,,
BARDSTOWN,,,,,,,,,,,,,,74,93,72,86,92,93,86,,,,,,,,,,,,,,96,,
BARREN ,,,,,,,,,,,,,,80,81,79,85,78,84,77,,,,,,,,,,,,,,97.1,,
BATH ,,,,,,,,,,,,,,67,72,87,83,88,83,88,,,,,,,,,,,,,,96.6,,
BEECHWOOD,,,,,,,,,,,,,,99,98,98,98,99,99,99,,,,,,,,,,,,,,99.1,,
BELL ,,,,,,,,,,,,,,69,67,75,74,82,80,86,,,,,,,,,,,,,,91.6,,
BELLEVUE,,,,,,,,,,,,,,85,90,91,93,96,100,100,,,,,,,,,,,,,,100,,
BEREA,,,,,,,,,,,,,,86,84,87,90,92,91,88,,,,,,,,,,,,,,88.8,,
BOONE ,,,,,,,,,,,,,,91,91,89,87,91,89,89,,,,,,,,,,,,,,94.5,,
BOURBON ,,,,,,,,,,,,,,90,88,90,88,90,89,86,,,,,,,,,,,,,,93,,
BOWLING GREEN,,,,,,,,,,,,,,87,86,91,85,88,91,94,,,,,,,,,,,,,,98.2,,
BOYD ,,,,,,,,,,,,,,86,88,88,85,89,94,92,,,,,,,,,,,,,,93.3,,
